[系统] 2026-05-28 17:42:39  程序已启动，请配置参数后点击【启动定时任务】
[系统] 2026-05-28 17:42:56  配置已导入 -> C:/Users/李君/Documents/单日报表/邮件工具配置_20260527_040023.json
[下载] 2026-05-28 17:44:26  下载配置已保存
[查询] 2026-05-28 17:44:26  正在查询 INBOX...
[查询] 2026-05-28 17:44:29  已选择文件夹: INBOX, 搜索条件: ALL
[查询] 2026-05-28 17:44:30  找到 987 封邮件
[查询] 2026-05-28 17:44:51  查询完成，共 50 封邮件
[查询] 2026-05-28 17:44:51  ==================================================
[下载] 2026-05-28 17:45:16  下载配置已保存
[查询] 2026-05-28 17:45:16  正在查询 已发送...
[查询] 2026-05-28 17:45:18  服务器文件夹列表: ['INBOX', '&g0l6P3ux-', '&XfJT0ZAB-', '&XfJSIJZk-', '&V4NXPpCuTvY-']
[查询] 2026-05-28 17:45:18  匹配到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:18  检测到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:18  已选择文件夹: &XfJT0ZAB-, 搜索条件: ALL
[查询] 2026-05-28 17:45:18  找到 9 封邮件
[查询] 2026-05-28 17:45:20  查询完成，共 9 封邮件
[查询] 2026-05-28 17:45:20  ==================================================
[下载] 2026-05-28 17:45:24  下载配置已保存
[查询] 2026-05-28 17:45:24  正在查询 已发送...
[查询] 2026-05-28 17:45:25  服务器文件夹列表: ['INBOX', '&g0l6P3ux-', '&XfJT0ZAB-', '&XfJSIJZk-', '&V4NXPpCuTvY-']
[查询] 2026-05-28 17:45:25  匹配到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:25  检测到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:25  已选择文件夹: &XfJT0ZAB-, 搜索条件: ALL
[查询] 2026-05-28 17:45:25  找到 9 封邮件
[查询] 2026-05-28 17:45:27  查询完成，共 9 封邮件
[查询] 2026-05-28 17:45:27  ==================================================
[下载] 2026-05-28 17:45:31  下载配置已保存
[查询] 2026-05-28 17:45:31  正在查询 已发送...
[查询] 2026-05-28 17:45:32  服务器文件夹列表: ['INBOX', '&g0l6P3ux-', '&XfJT0ZAB-', '&XfJSIJZk-', '&V4NXPpCuTvY-']
[查询] 2026-05-28 17:45:32  匹配到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:32  检测到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:33  已选择文件夹: &XfJT0ZAB-, 搜索条件: ALL
[查询] 2026-05-28 17:45:33  找到 9 封邮件
[查询] 2026-05-28 17:45:35  查询完成，共 9 封邮件
[查询] 2026-05-28 17:45:35  ==================================================
[下载] 2026-05-28 17:45:38  下载配置已保存
[查询] 2026-05-28 17:45:38  正在查询 已发送...
[查询] 2026-05-28 17:45:39  服务器文件夹列表: ['INBOX', '&g0l6P3ux-', '&XfJT0ZAB-', '&XfJSIJZk-', '&V4NXPpCuTvY-']
[查询] 2026-05-28 17:45:39  匹配到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:39  检测到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:40  已选择文件夹: &XfJT0ZAB-, 搜索条件: UNSEEN
[查询] 2026-05-28 17:45:40  找到 0 封邮件
[查询] 2026-05-28 17:45:40  查询完成，共 0 封邮件
[查询] 2026-05-28 17:45:40  ==================================================
[下载] 2026-05-28 17:45:46  下载配置已保存
[查询] 2026-05-28 17:45:46  正在查询 已发送...
[查询] 2026-05-28 17:45:48  服务器文件夹列表: ['INBOX', '&g0l6P3ux-', '&XfJT0ZAB-', '&XfJSIJZk-', '&V4NXPpCuTvY-']
[查询] 2026-05-28 17:45:48  匹配到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:48  检测到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:48  已选择文件夹: &XfJT0ZAB-, 搜索条件: UNSEEN
[查询] 2026-05-28 17:45:48  找到 0 封邮件
[查询] 2026-05-28 17:45:48  查询完成，共 0 封邮件
[查询] 2026-05-28 17:45:48  ==================================================
[下载] 2026-05-28 17:45:49  下载配置已保存
[查询] 2026-05-28 17:45:49  正在查询 已发送...
[查询] 2026-05-28 17:45:50  服务器文件夹列表: ['INBOX', '&g0l6P3ux-', '&XfJT0ZAB-', '&XfJSIJZk-', '&V4NXPpCuTvY-']
[查询] 2026-05-28 17:45:50  匹配到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:50  检测到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:45:50  已选择文件夹: &XfJT0ZAB-, 搜索条件: UNSEEN
[查询] 2026-05-28 17:45:50  找到 0 封邮件
[查询] 2026-05-28 17:45:50  查询完成，共 0 封邮件
[查询] 2026-05-28 17:45:50  ==================================================
[下载] 2026-05-28 17:46:09  下载配置已保存
[查询] 2026-05-28 17:46:09  正在查询 INBOX...
[查询] 2026-05-28 17:46:10  已选择文件夹: INBOX, 搜索条件: UNSEEN
[查询] 2026-05-28 17:46:10  找到 899 封邮件
[查询] 2026-05-28 17:46:27  查询完成，共 50 封邮件
[查询] 2026-05-28 17:46:27  ==================================================
[下载] 2026-05-28 17:46:39  下载配置已保存
[查询] 2026-05-28 17:46:39  正在查询 INBOX...
[查询] 2026-05-28 17:46:40  已选择文件夹: INBOX, 搜索条件: UNSEEN
[查询] 2026-05-28 17:46:40  找到 899 封邮件
[查询] 2026-05-28 17:46:59  查询完成，共 50 封邮件
[查询] 2026-05-28 17:46:59  ==================================================
[下载] 2026-05-28 17:47:09  下载配置已保存
[查询] 2026-05-28 17:47:09  正在查询 INBOX...
[查询] 2026-05-28 17:47:10  已选择文件夹: INBOX, 搜索条件: UNSEEN
[查询] 2026-05-28 17:47:10  找到 899 封邮件
[查询] 2026-05-28 17:47:25  查询完成，共 50 封邮件
[查询] 2026-05-28 17:47:25  ==================================================
[下载] 2026-05-28 17:48:01  下载配置已保存
[查询] 2026-05-28 17:48:01  正在查询 已发送...
[查询] 2026-05-28 17:48:02  服务器文件夹列表: ['INBOX', '&g0l6P3ux-', '&XfJT0ZAB-', '&XfJSIJZk-', '&V4NXPpCuTvY-']
[查询] 2026-05-28 17:48:02  匹配到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:48:02  检测到已发送文件夹: &XfJT0ZAB-
[查询] 2026-05-28 17:48:02  已选择文件夹: &XfJT0ZAB-, 搜索条件: ALL
[查询] 2026-05-28 17:48:03  找到 9 封邮件
[查询] 2026-05-28 17:48:05  查询完成，共 9 封邮件
[查询] 2026-05-28 17:48:05  ==================================================
